 Day ,Meal,,,COMPULSORY ITEMS
 Monday ,BREAKFAST,"Poha(Namkeen), Sambar and Jalebi",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes,  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita                                                                                        "
,LUNCH,"Bhindi Peanut Fry, kaddu Masala, Moong dal","Seasonal fruits (Papaya+ Lichi/watermelon), Masala Chaas","Plain Rice, Atta Roti, Salad(Beetroot+onion+Cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Dhokla (Besan), Dhania Mirch Chutney, Imli Chutney",,"Milk(Non-Toned), Tea, Coffee "
,DINNER,"Ghugni, Sabut Masoor dal, Rasmalai(2 Piece)",Egg Burji,"Plain Rice, Atta Roti, Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
 Tuesday ,BREAKFAST,"Masala paratha, Kala Channa aur Alu ki sabji, pudhina chutney",Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Oats, Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita                                                                                        "
,LUNCH,"Veg Korma, Methi Matar Malai, Urad chilka dal","Curd, Roohhafza","Plain Rice, Atta Roti, Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,Maggie or macroni,—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Soyachunks Dry, Aloo Tammatar, Dal Makhani, Lemon Rice",—,"Plain Rice, Atta Roti, Salad(Beetroot+cucumber+onion+lemon+chilli),  Pickle, Lizzat Papad,Ghee"
 Wednesday ,BREAKFAST,"Idli+Fried Idli or Idli+Mendu Vada, Sambhar, Coconut Chutney, Tomato Chutney",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes,  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita                                                                                       "
,LUNCH,"Mix veg, Besan Gatte, Mix dal","Veg Raita, Rasna","Plain Rice, Atta Roti, Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Dahi Vada, Chutney",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Mix Veg, Masoor dal, Kheer or Sevai with dry fruits",Butter Chiken,"Plain Rice, Atta Roti, Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
 Thursday ,BREAKFAST,"khasta Poori, hing-zeera aloo Sabzi or pumpkin ki sabji and Suji Halwa",Banana(2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Oats, Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita"
,LUNCH,"Kadi Pakora, Aloo-Jeera, Kali massor Dal","Seasonal fruits( mango), Lassi","Plain Rice, Atta Roti, , Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Cheese Grilled Sandwich (2pcs) , ketchup",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Pindi Chola, Soyachunks matar Masala, Lobia dal, Veg Pulao",—,"Plain Rice, Atta Roti, Salad(Beetroot+cucumber+onion+lemon+chilli), Pickle, Fryums,Ghee"
 Friday ,BREAKFAST,"Aloo Pyaz Paratha, Curd, Mint Chutney, Pickle",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes,  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita                                                                                       "
,LUNCH,"chilli potato, Arbi, Rajma dal","Pudina Chaas, Aam panna","Plain Rice, Atta Roti, Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Moong Dal kachori or Samosa with mint, daniya chutney",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Sev Tamatar, Dal Fry ,  Veg Biryani, Coconut barfi (2 piece)",Egg Burji,"Plain Rice, Atta Roti, Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Fryums,Ghee"
 Saturday ,BREAKFAST,"Upama or uttapam Sambhar, Coconut Chutney",Boiled egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Oats, Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita                                                                                        "
,LUNCH,"Gawar ki fali ki sabji, Turai, Moong dal","Curd, Roohhafza","Plain Rice, Atta Roti, Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad,Ghee"
,SNACKS,"Vada Pao, Chutney",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Alu Masala,  Chole Bhature, Dal Tadka, ",,"Plain Rice, Atta Roti, Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Fryums, Ghee"
 Sunday ,BREAKFAST,"Masala dosa, Mint Chutney, sambhar",Boiled Egg (2),"Toasted white/whole wheat bread, Butter, Jam, Sugar, Cornflakes,  Sprouts-boiled chana, Milk(Non-Toned), Tea, Coffee, Bournvita                                                                                        "
,LUNCH,"Veg fried Rice, Tindi ki sabji, Green moong chilka, Manchurian",Boondi Raita pudina,"Plain Rice, Atta Roti, Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Lizzat Papad, Ghee"
,SNACKS,"Paani puri, emili pani",—," Milk(Non-Toned), Tea, Coffee "
,DINNER,"Veg Korma, Arhar Dal, Ice cream(Choclate or Butterscotch)","Chicken Biryani,veg Raita","Plain Rice, Atta Roti, Salad(Beetroot+onion+cucumber+lemon+chilli), Pickle, Fryums, Ghee"